Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
LLY,Common Stock,Eli Lilly and Company,"Eli Lilly and Company is an American pharmaceutical company headquartered in Indianapolis, Indiana, with offices in 18 countries. Its products are sold in approximately 125 countries.",59478,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"LILLY CORPORATE CTR, DROP CODE 1112, INDIANAPOLIS, IN, US",December,2022-03-31,275761594000,9725100000,47.31,1.847,9.94,3.4,0.0134,6.12,31.22,0.197,0.289,0.107,0.745,28318401000,21345300000,6.12,-0.183,0.075,304.28,47.31,34.01,9.74,30.98,9.93,38.82,0.43,314,185.37,280.05,258.05,952347000,2022-03-10,2022-02-14
MCK,Common Stock,McKesson Corporation,"McKesson Corporation is an American company distributing pharmaceuticals and providing health information technology, medical supplies, and care management tools.",927653,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES","6555 STATE HWY 161, IRVING, TX, UNITED STATES",March,2021-12-31,45958025000,3517000000,34.03,26.75,36.68,1.78,0.0061,9.02,1655.97,0.0055,0.0105,0.0269,0.14,257005994000,11967000000,9.02,-0.517,0.096,337,34.03,13.35,0.179,5.04,0.201,15.57,0.717,335.6,178.92,300.32,241.53,149798000,2022-07-01,2022-05-31
MDT,Common Stock,Medtronic plc,"Medtronic plc is an American-Irish registered medical device company that primarily operates in the United States. Medtronic has an operational and executive headquarters in Fridley, Minnesota in the US.",1613103,NYSE,USD,USA,LIFE SCIENCES,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,"20 ON HATCH, LOWER HATCH STREET, DUBLIN, IE",April,2022-01-31,138366435000,9609000000,28.42,2.37,39.14,2.47,0.0241,3.629,23.63,0.155,0.217,0.0457,0.0952,31785001000,19762000000,3.629,0.17,-0.002,124.61,28.42,18.08,4.353,2.665,4.843,17.62,0.752,133.57,97.17,107.82,115.74,1341540000,2022-04-22,2022-03-24
MRK,Common Stock,Merck & Co. Inc,"Merck & Co. is an American multinational pharmaceutical company headquartered in Kenilworth, New Jersey. It is named after the Merck family, which set up Merck Group in Germany in 1668.",310158,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"2000 GALLOPING HILL ROAD, KENILWORTH, NJ, US",December,2022-03-31,221609869000,18980000000,17.06,1.183,15.11,2.6,0.0315,5.14,19.25,0.268,0.326,0.101,0.388,48704000000,35463000000,5.14,0.548,0.235,94.73,17.06,12.24,4.55,5.87,4.745,14.97,0.461,90.01,69.02,81.49,79.0,2528350000,2022-04-07,2022-03-14
MRNA,Common Stock,Moderna Inc,"Moderna, Inc., a biotechnology company, develops messenger RNA-based vaccines and therapies for the treatment of infectious diseases, immuno-oncology, rare diseases, cardiovascular diseases, and autoimmune diseases. The company is headquartered in Cambridge, Massachusetts.",1682852,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","200 TECHNOLOGY SQUARE, CAMBRIDGE, MA, US",December,2021-12-31,57261081000,13528001000,5.02,0,35.1,0,0,28.29,45.83,0.661,0.72,0.519,1.461,18471000000,13863000000,28.29,0,11.63,234.88,5.02,5.04,3.1,3.83,2.401,3.277,1.545,497.49,122.01,155.63,266.68,403020000,None,None
MTD,Common Stock,Mettler-Toledo International Inc,"Mettler Toledo (NYSE: MTD) is a multinational manufacturer of scales and analytical instruments. It is the largest provider of weighing instruments for use in laboratory, industrial, and food retailing applications. The company also provides various analytical instruments, process analytics instruments, and end-of-line inspection systems.",1037646,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1900 POLARIS PARKWAY, COLUMBUS, OH, US",December,2021-12-31,30337702000,1073793000,40.71,2.082,7.5,0,0,32.78,160.74,0.207,0.271,0.205,0.339,3717930000,2171553000,32.78,0.101,0.106,1461,40.71,35.71,8.16,169.44,8.24,27.83,1.078,1714.75,1225.56,1355.84,1473.24,22735600,None,None
OGN,Common Stock,Organon & Co,"Organon & Co. is an American pharmaceutical company headquartered in Jersey City, New Jersey. Organon specializes in the following core therapeutic fields: reproductive medicine, contraception, psychiatry, Hormone replacement therapy (HRT), and anesthesia. The company sells to international markets.",1821825,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"30 HUDSON STREET, FL 33, JERSEY CITY, NJ, US",December,2021-12-31,8136675000,2012000000,6.04,None,18.63,0.56,0.0339,5.31,24.86,0.214,0.288,0.109,0.679,6304000000,3929000000,5.31,-0.453,-0.006,39.29,6.04,5.03,1.291,1.843,2.633,8.37,None,39.48,26.58,35.08,33.19,253637000,2022-03-17,2022-02-25
PFE,Common Stock,Pfizer Inc,"Pfizer Inc. is an American multinational pharmaceutical and biotechnology corporation headquartered on 42nd Street in Manhattan, New York City. The name of the company commemorates its co-founder, Charles Pfizer (1824-1906). Pfizer develops and produces medicines and vaccines for immunology, oncology, cardiology, endocrinology, and neurology. The company has several blockbuster drugs or products that each generate more than 1 billion USD in annual revenues.",78003,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"235 E 42ND ST, NEW YORK, NY, US",December,2021-12-31,277136081000,31949001000,12.73,1.173,13.74,1.56,0.0326,3.854,14.51,0.27,0.33,0.1,0.319,81288004000,50627000000,3.854,2.911,1.068,60.29,12.73,7.15,3.409,3.59,3.482,9.19,0.722,61.24,37.01,50.67,49.27,5647770000,2022-06-10,2022-05-12
PKI,Common Stock,PerkinElmer Inc,"PerkinElmer, Inc., previously styled Perkin-Elmer, is an American global corporation focused in the business areas of diagnostics, life science research, food, environmental and industrial testing. Its capabilities include detection, imaging, informatics, and service. PerkinElmer produces analytical instruments, genetic testing and diagnostic tools, medical imaging components, software, instruments, and consumables for multiple end markets.",31791,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"940 WINTER STREET, WALTHAM, MA, US",December,2021-12-31,18495877000,1868369000,18.15,4.682,56.57,0.28,0.0019,8.08,43.62,0.186,0.298,0.0822,0.173,5067169000,2890369000,8.08,-0.558,0.007,191.91,18.15,19.3,3.65,2.59,4.556,13.27,1.101,202.99,130.56,169.57,177.59,126157000,2022-08-12,2022-07-21
REGN,Common Stock,Regeneron Pharmaceuticals Inc,"Regeneron Pharmaceuticals, Inc. is an American biotechnology company headquartered in Westchester County, New York. Originally focused on neurotrophic factors and their regenerative capabilities, giving rise to its name, the company then branched out into the study of both cytokine and tyrosine kinase receptors.",872589,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"777 OLD SAW MILL RIVER ROAD, TARRYTOWN, NY, US",December,2021-12-31,72400593000,9233000000,9.16,6.0,176.11,0,0,71.97,152.05,0.502,0.557,0.263,0.542,16071700000,10726100000,71.97,0.923,1.044,697.1,9.16,15.5,4.505,3.857,4.319,7.18,0.209,747.42,478.4,670.76,632.93,108028000,None,None
RMD,Common Stock,ResMed Inc,"ResMed is a San Diego, California-based medical equipment company. It primarily provides cloud-connectable medical devices for the treatment of sleep apnea (such as CPAP devices and masks), chronic obstructive pulmonary disease (COPD), and other respiratory conditions.",943819,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"9001 SPECTRUM CENTER BLVD., SAN DIEGO, CA, US",June,2022-03-31,29242413000,1086692000,56.27,2.735,21.52,1.65,0.0084,3.554,23.64,0.152,0.283,0.131,0.174,3443760000,1889459000,3.554,0.114,0.119,243.33,56.27,30.58,8.49,8.92,8.67,25.71,0.325,300.34,188.33,240.7,256.51,146234000,2022-06-16,2022-05-11
STE,Common Stock,STERIS plc,Steris Corporation is an American Irish-domiciled medical equipment company specializing in sterilization and surgical products for the US healthcare system.,1757898,NYSE,USD,USA,LIFE SCIENCES,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES","70 SIR JOHN ROGERSON'S QUAY, DUBLIN 2, IE",March,2021-12-31,22434456000,1068354000,75.77,3.676,66.04,1.66,0.0077,2.957,45.26,0.0657,0.162,0.0472,0.0529,4247909000,1368778000,2.957,0.068,0.495,271.8,75.77,39.53,5.28,3.393,6.02,30.63,0.639,255.93,186.83,237.01,227.31,100127000,2022-03-24,2022-02-24
SYK,Common Stock,Stryker Corporation,"Stryker Corporation is an American multinational medical technologies corporation based in Kalamazoo, Michigan. Stryker's products include implants used in joint replacement and trauma surgeries; surgical equipment and surgical navigation systems; endoscopic and communications systems; patient handling and emergency medical equipment; neurosurgical, neurovascular and spinal devices; as well as other medical device products used in a variety of medical specialties.",310764,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"2825 AIRVIEW BLVD, KALAMAZOO, MI, US",December,2022-03-31,91123900000,4645000000,46.31,2.461,39.41,2.585,0.0115,5.21,45.38,0.117,0.214,0.0663,0.143,17108000000,11262000000,5.21,0.161,0.103,284.74,46.31,24.63,5.33,6.13,5.88,27.35,0.987,279.72,230.16,260.45,262.76,377700000,2022-04-29,2022-03-30
TECH,Common Stock,Bio-Techne Corporation,"Bio-Techne Corporation develops, manufactures, and sells life science reagents, instruments, and services for the global clinical diagnostic and research markets. The company is headquartered in Minneapolis, Minnesota.",842023,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","614 MCKINLEY PL N E, MINNEAPOLIS, MN, US",June,2021-12-31,15030917000,332496000,74.39,1.264,43.31,1.28,0.0034,5.14,26.37,0.204,0.266,0.0782,0.124,1029575000,634415000,5.14,0.687,0.201,526.9,74.39,42.02,14.6,8.76,14.56,47.75,1.21,543.09,347.62,417.25,458.92,39288300,2022-02-25,2022-02-10
TFX,Common Stock,Teleflex Incorporated,"Teleflex Incorporated, headquartered in Wayne, Pennsylvania, is an American provider of specialty medical devices for a range of procedures in critical care and surgery.",96943,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"550 E SWEDESFORD RD, SUITE 400, WAYNE, PA, US",December,2022-03-31,13396063000,807813000,27.91,3.249,80.13,1.36,0.0048,10.23,60.07,0.173,0.203,0.0508,0.137,2809563000,1552902000,10.23,0.679,0.071,364,27.91,20.37,4.768,3.529,5.3,17.44,1.052,427.1,277.02,336.11,348.1,46901700,2022-03-15,2022-03-04
TMO,Common Stock,Thermo Fisher Scientific Inc,"Thermo Fisher Scientific is an American provisioner of scientific instrumentation, reagents and consumables, and software and services to healthcare, life science, and other laboratories in academia, government, and industry (including in the biotechnology and pharmaceutical sectors). Based in Waltham, Massachusetts, Thermo Fisher was created in 2006 by the merger of Thermo Electron and Fisher Scientific, to form a company with US$ 9 billion in combined revenues.",97745,NYSE,USD,USA,LIFE SCIENCES,"MEASURING & CONTROLLING DEVICES, NEC","168 THIRD AVENUE, WALTHAM, MA, US",December,2021-12-31,216434442000,12820000000,28.41,6.79,103.42,1.04,0.0022,19.46,99.52,0.197,0.261,0.0779,0.205,39211000000,19638000000,19.46,-0.333,0.014,677.29,28.41,24.57,5.52,5.31,6.29,20.62,0.826,671.96,437.85,563.15,584.99,391439000,2022-04-14,2022-03-15
UHS,Common Stock,Universal Health Services Inc,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services.",352915,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","367 S GULPH RD, KING OF PRUSSIA, PA, US",December,2022-03-31,9100829000,1927529000,10.34,1.87,78.99,0.8,0.0065,11.82,153.2,0.0784,0.11,0.0656,0.157,12642117000,5051039000,11.82,-0.166,0.061,143.41,10.34,10,0.72,1.555,1.059,7.41,1.058,164.29,116.07,143.75,138.84,67212000,2022-03-15,2022-02-28
UNH,Common Stock,UnitedHealth Group Incorporated,"UnitedHealth Group Incorporated is an American for-profit multinational managed healthcare and insurance company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company (behind CVS Health) by revenue with $257.1 billion, and the largest insurance company by net premiums. UnitedHealthcare revenues comprise 80% of the Group's overall revenue.",731766,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"UNITEDHEALTH GROUP CENTER, 9900 BREN ROAD EAST, MINNEAPOLIS, MN, US",December,2022-03-31,477502505000,26150001000,28.13,1.847,76.26,5.6,0.0114,18.08,304.98,0.0601,0.0834,0.0732,0.241,287597003000,69652000000,18.08,0.853,0.126,567.21,28.13,23.53,1.66,6.27,1.682,18.18,0.877,553.29,380.75,505.77,459.06,938949000,2022-03-22,2022-03-11
VRTX,Common Stock,Vertex Pharmaceuticals Incorporated,"Vertex Pharmaceuticals, Inc. is an American biopharmaceutical company based in Boston, Massachusetts.",875320,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"50 NORTHERN AVENUE, BOSTON, MA, US",December,2021-12-31,69817000000,2904600000,30.32,0.397,39.69,0,0,9.01,29.39,0.309,0.367,0.138,0.249,7574400000,3619100000,9.01,0.304,0.273,287.29,30.32,18.98,9.22,6.91,8.35,21.67,0.613,292.75,176.36,255.88,215.94,255534000,None,None
VTRS,Common Stock,Viatris Inc,"Viatris Inc. is an American global healthcare company headquartered in Canonsburg, Pennsylvania.",1792044,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"235 EAST 42ND STREET, NEW YORK, NY, US",December,2021-12-31,12607920000,6180800000,None,None,16.94,0.45,0.0465,-1.05,14.8,-0.071,0.166,0.0319,-0.0584,17886300000,7749900000,-1.05,-0.283,0.198,16.69,-,3.007,0.705,0.61,1.952,7.8,1.373,15.79,9.66,10.97,13.24,1209580000,2022-03-16,2022-02-23
WAT,Common Stock,Waters Corporation,"Waters Corporation is a publicly traded Analytical Laboratory instrument and software company headquartered in Milford, Massachusetts.",1000697,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"34 MAPLE ST, MILFORD, MA, US",December,2022-03-31,19748370000,958425000,29.27,2.791,6.05,0,0,11.17,45.24,0.249,0.297,0.174,2.311,2785874000,1629341000,11.17,0.005,0.063,338.64,29.27,25.45,7.09,49.8,6.94,19.67,0.891,428.22,288.32,312.99,349.78,60406000,None,1996-11-26
WST,Common Stock,West Pharmaceutical Services Inc,"West Pharmaceutical Services, Inc. is a designer and manufacturer of injectable pharmaceutical packaging and delivery systems. The company is headquartered in Exton, Pennsylvania.",105770,NYSE,USD,USA,MANUFACTURING,"FABRICATED RUBBER PRODUCTS, NEC","530 HERMAN O. WEST DRIVE, EXTON, PA, US",December,2022-03-31,23216816000,886300000,36.02,4.423,31.47,0.69,0.0023,8.67,38.06,0.234,0.27,0.156,0.316,2831600000,1175800000,8.67,0.494,0.26,397.2,36.02,34.36,8.2,9.99,7.95,25.64,1.054,474.69,305.82,382.44,412.71,74353000,2022-08-03,2022-04-19
XRAY,Common Stock,DENTSPLY SIRONA Inc,Dentsply Sirona is an American dental equipment manufacturer and dental consumables producer that markets its products in over 120 countries.,818479,NASDAQ,USD,USA,LIFE SCIENCES,DENTAL EQUIPMENT & SUPPLIES,"SUSQUEHANNA COMMERCE CENTER, 221 W. PHILADELPHIA STREET, YORK, PA, US",December,2021-12-31,8542672000,986000000,20.76,18.91,23.19,0.43,0.0125,1.91,19.46,0.099,0.151,0.0431,0.0841,4251000000,2358000000,1.91,0.019,0.006,54.42,20.76,13.99,2.01,1.709,2.486,11.01,0.869,68.98,39.22,48.65,54.99,215452000,2022-04-08,2022-03-24
ZBH,Common Stock,Zimmer Biomet Holdings Inc,"Zimmer Biomet is a publicly traded medical device company. The company is headquartered in Warsaw, Indiana, where it is part of the medical devices business cluster.",1136869,NYSE,USD,USA,LIFE SCIENCES,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES","345 EAST MAIN STREET, WARSAW, IN, US",December,2021-12-31,25254699000,2387900000,63.17,2.634,60.58,0.96,0.008,1.91,37.57,0.0513,0.169,0.0345,0.0323,7836200000,5537000000,1.91,-0.405,-0.023,130.55,63.17,18.45,3.223,1.996,4.068,18.82,1.2,168.46,105.03,123.82,131.16,209322000,2022-04-29,2022-03-28
ZTS,Common Stock,Zoetis Inc,"Zoetis Inc. is an American drug company, the world's largest producer of medicine and vaccinations for pets and livestock.",1555280,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"10 SYLVAN WAY, PARSIPPANY, NJ, US",December,2021-12-31,82313413000,3207000000,40.91,3.046,9.61,1,0.0073,4.27,16.39,0.262,0.361,0.128,0.489,7776000000,5481000000,4.27,0.159,0.089,248.82,40.91,34.36,10.59,18.39,11.16,27.47,0.758,248.44,164.26,188.97,204.65,471251000,2022-06-01,2022-04-20
